0	21	16	22	75	27	30	68	12	86	15	31	36	43	72	63	50	32	77	80	20	26	63	52	53	80	66	87	71	80
21	0	42	62	25	31	18	73	69	12	88	24	73	62	56	25	47	60	68	63	59	11	61	46	65	34	16	51	17	89
16	42	0	32	81	16	48	28	54	36	44	60	12	59	76	13	43	73	26	39	11	44	28	56	24	13	26	15	78	54
22	62	32	0	75	54	20	42	72	61	69	21	66	63	41	50	47	67	34	67	63	66	50	80	45	47	42	47	64	40
75	25	81	75	0	29	12	50	56	68	85	88	70	74	21	32	29	55	59	89	25	10	86	28	59	16	47	72	89	33
27	31	16	54	29	0	51	59	69	41	60	12	40	68	27	37	27	83	19	15	66	59	37	37	70	60	84	43	13	79
30	18	48	20	12	51	0	20	39	23	41	84	61	88	60	69	40	61	45	38	52	13	48	62	41	45	47	69	66	80
68	73	28	42	50	59	20	0	26	14	60	74	24	69	74	63	27	33	37	44	34	23	32	33	40	75	89	58	25	35
12	69	54	72	56	69	39	26	0	60	73	53	42	18	50	61	13	54	19	11	37	88	77	46	50	27	19	18	33	41
86	12	36	61	68	41	23	14	60	0	62	62	26	22	26	87	24	65	49	66	85	71	18	87	34	18	62	17	80	31
15	88	44	69	85	60	41	60	73	62	0	31	65	62	13	84	51	15	33	45	24	23	23	32	50	18	82	22	46	49
31	24	60	21	88	12	84	74	53	62	31	0	53	38	60	50	74	27	10	74	15	68	62	50	49	24	34	75	80	35
36	73	12	66	70	40	61	24	42	26	65	53	0	58	48	82	18	81	87	19	71	65	51	58	25	34	25	23	28	58
43	62	59	63	74	68	88	69	18	22	62	38	58	0	12	73	40	66	71	44	57	41	39	47	50	33	19	35	62	71
72	56	76	41	21	27	60	74	50	26	13	60	48	12	0	88	64	21	81	53	50	87	80	32	80	88	37	52	45	72
63	25	13	50	32	37	69	63	61	87	84	50	82	73	88	0	32	72	87	45	35	12	61	48	69	18	78	81	50	39
50	47	43	47	29	27	40	27	13	24	51	74	18	40	64	32	0	77	24	32	29	64	57	28	86	23	35	19	15	89
32	60	73	67	55	83	61	33	54	65	15	27	81	66	21	72	77	0	37	61	55	10	29	67	58	58	15	65	46	71
77	68	26	34	59	19	45	37	19	49	33	10	87	71	81	87	24	37	0	62	39	73	34	74	41	61	47	22	86	49
80	63	39	67	89	15	38	44	11	66	45	74	19	44	53	45	32	61	62	0	38	68	86	14	86	48	45	35	89	22
20	59	11	63	25	66	52	34	37	85	24	15	71	57	50	35	29	55	39	38	0	28	37	51	81	22	86	36	16	16
26	11	44	66	10	59	13	23	88	71	23	68	65	41	87	12	64	10	73	68	28	0	16	13	71	18	15	15	64	58
63	61	28	50	86	37	48	32	77	18	23	62	51	39	80	61	57	29	34	86	37	16	0	72	31	27	16	42	21	25
52	46	56	80	28	37	62	33	46	87	32	50	58	47	32	48	28	67	74	14	51	13	72	0	19	48	84	33	82	47
53	65	24	45	59	70	41	40	50	34	50	49	25	50	80	69	86	58	41	86	81	71	31	19	0	36	46	24	50	11
80	34	13	47	16	60	45	75	27	18	18	24	34	33	88	18	23	58	61	48	22	18	27	48	36	0	85	78	32	74
66	16	26	42	47	84	47	89	19	62	82	34	25	19	37	78	35	15	47	45	86	15	16	84	46	85	0	54	52	87
87	51	15	47	72	43	69	58	18	17	22	75	23	35	52	81	19	65	22	35	36	15	42	33	24	78	54	0	19	46
71	17	78	64	89	13	66	25	33	80	46	80	28	62	45	50	15	46	86	89	16	64	21	82	50	32	52	19	0	59
80	89	54	40	33	79	80	35	41	31	49	35	58	71	72	39	89	71	49	22	16	58	25	47	11	74	87	46	59	0
